source,target,relation,evidence_doc_id,weight
DIS-06,PST-12,recommendedPesticide,DOC-PST-012,0.8
DIS-06,PST-03,recommendedPesticide,DOC-PST-003,0.6
DIS-07,PST-09,recommendedPesticide,DOC-PST-009,1.0
DIS-07,PST-11,recommendedPesticide,DOC-PST-011,0.8
DIS-07,PST-05,recommendedPesticide,DOC-PST-005,0.6
DIS-08,PST-07,recommendedPesticide,DOC-PST-007,1.0
DIS-08,PST-10,recommendedPesticide,DOC-PST-010,0.8
DIS-08,PST-12,recommendedPesticide,DOC-PST-012,0.6
DIS-01,DOC-DIS-001,evidenceFrom,DOC-DIS-001,1.0
DIS-02,DOC-DIS-002,evidenceFrom,DOC-DIS-002,1.0
DIS-03,DOC-DIS-003,evidenceFrom,DOC-DIS-003,1.0
DIS-04,DOC-DIS-004,evidenceFrom,DOC-DIS-004,1.0
DIS-05,DOC-DIS-005,evidenceFrom,DOC-DIS-005,1.0
DIS-06,DOC-DIS-006,evidenceFrom,DOC-DIS-006,1.0
DIS-07,DOC-DIS-007,evidenceFrom,DOC-DIS-007,1.0
DIS-08,DOC-DIS-008,evidenceFrom,DOC-DIS-008,1.0
CASE-2025-0001,CROP-01,ofCrop,DOC-CASE-001,1.0
CASE-2025-0001,REG-01,observedIn,DOC-CASE-001,1.0
CASE-2025-0001,DIS-01,diagnosedAs,DOC-CASE-001,1.0
CASE-2025-0001,DOC-CASE-001,evidenceFrom,DOC-CASE-001,1.0
CASE-2025-0001,SYM-01,hasObservedSymptom,DOC-CASE-001,1.0
CASE-2025-0001,SYM-02,hasObservedSymptom,DOC-CASE-001,1.0
CASE-2025-0001,SYM-03,hasObservedSymptom,DOC-CASE-001,1.0
CASE-2025-0001,SYM-04,hasObservedSymptom,DOC-CASE-001,1.0
CASE-2025-0002,CROP-01,ofCrop,DOC-CASE-001,1.0
CASE-2025-0002,REG-01,observedIn,DOC-CASE-001,1.0
CASE-2025-0002,DIS-01,diagnosedAs,DOC-CASE-001,1.0
CASE-2025-0002,DOC-CASE-001,evidenceFrom,DOC-CASE-001,1.0
CASE-2025-0002,SYM-01,hasObservedSymptom,DOC-CASE-001,1.0
CASE-2025-0002,SYM-02,hasObservedSymptom,DOC-CASE-001,1.0
CASE-2025-0002,SYM-03,hasObservedSymptom,DOC-CASE-001,1.0
CASE-2025-0002,SYM-04,hasObservedSymptom,DOC-CASE-001,1.0
CASE-2025-0003,CROP-01,ofCrop,DOC-CASE-001,1.0
CASE-2025-0003,REG-01,observedIn,DOC-CASE-001,1.0
CASE-2025-0003,DIS-01,diagnosedAs,DOC-CASE-001,1.0
CASE-2025-0003,DOC-CASE-001,evidenceFrom,DOC-CASE-001,1.0
CASE-2025-0003,SYM-01,hasObservedSymptom,DOC-CASE-001,1.0
CASE-2025-0003,SYM-02,hasObservedSymptom,DOC-CASE-001,1.0
CASE-2025-0003,SYM-03,hasObservedSymptom,DOC-CASE-001,1.0
CASE-2025-0003,SYM-04,hasObservedSymptom,DOC-CASE-001,1.0
CASE-2025-0004,CROP-01,ofCrop,DOC-CASE-001,1.0
CASE-2025-0004,REG-01,observedIn,DOC-CASE-001,1.0
CASE-2025-0004,DIS-01,diagnosedAs,DOC-CASE-001,1.0
CASE-2025-0004,DOC-CASE-001,evidenceFrom,DOC-CASE-001,1.0
CASE-2025-0004,SYM-01,hasObservedSymptom,DOC-CASE-001,1.0
CASE-2025-0004,SYM-02,hasObservedSymptom,DOC-CASE-001,1.0
CASE-2025-0004,SYM-03,hasObservedSymptom,DOC-CASE-001,1.0
CASE-2025-0004,SYM-04,hasObservedSymptom,DOC-CASE-001,1.0
CASE-2025-0005,CROP-01,ofCrop,DOC-CASE-002,1.0
CASE-2025-0005,REG-01,observedIn,DOC-CASE-002,1.0
CASE-2025-0005,DIS-01,diagnosedAs,DOC-CASE-002,1.0
CASE-2025-0005,DOC-CASE-002,evidenceFrom,DOC-CASE-002,1.0
CASE-2025-0005,SYM-01,hasObservedSymptom,DOC-CASE-002,1.0
CASE-2025-0005,SYM-02,hasObservedSymptom,DOC-CASE-002,1.0
CASE-2025-0005,SYM-03,hasObservedSymptom,DOC-CASE-002,1.0
CASE-2025-0005,SYM-04,hasObservedSymptom,DOC-CASE-002,1.0
CASE-2025-0006,CROP-01,ofCrop,DOC-CASE-002,1.0
CASE-2025-0006,REG-01,observedIn,DOC-CASE-002,1.0
CASE-2025-0006,DIS-01,diagnosedAs,DOC-CASE-002,1.0
CASE-2025-0006,DOC-CASE-002,evidenceFrom,DOC-CASE-002,1.0
CASE-2025-0006,SYM-01,hasObservedSymptom,DOC-CASE-002,1.0
CASE-2025-0006,SYM-02,hasObservedSymptom,DOC-CASE-002,1.0
CASE-2025-0006,SYM-03,hasObservedSymptom,DOC-CASE-002,1.0
CASE-2025-0006,SYM-04,hasObservedSymptom,DOC-CASE-002,1.0
CASE-2025-0007,CROP-01,ofCrop,DOC-CASE-002,1.0
CASE-2025-0007,REG-01,observedIn,DOC-CASE-002,1.0
CASE-2025-0007,DIS-01,diagnosedAs,DOC-CASE-002,1.0
CASE-2025-0007,DOC-CASE-002,evidenceFrom,DOC-CASE-002,1.0
CASE-2025-0007,SYM-01,hasObservedSymptom,DOC-CASE-002,1.0
CASE-2025-0007,SYM-02,hasObservedSymptom,DOC-CASE-002,1.0
CASE-2025-0007,SYM-03,hasObservedSymptom,DOC-CASE-002,1.0
CASE-2025-0007,SYM-04,hasObservedSymptom,DOC-CASE-002,1.0
CASE-2025-0008,CROP-01,ofCrop,DOC-CASE-002,1.0
CASE-2025-0008,REG-01,observedIn,DOC-CASE-002,1.0
CASE-2025-0008,DIS-01,diagnosedAs,DOC-CASE-002,1.0
CASE-2025-0008,DOC-CASE-002,evidenceFrom,DOC-CASE-002,1.0
CASE-2025-0008,SYM-01,hasObservedSymptom,DOC-CASE-002,1.0
CASE-2025-0008,SYM-02,hasObservedSymptom,DOC-CASE-002,1.0
CASE-2025-0008,SYM-03,hasObservedSymptom,DOC-CASE-002,1.0
CASE-2025-0009,CROP-01,ofCrop,DOC-CASE-003,1.0
CASE-2025-0009,REG-01,observedIn,DOC-CASE-003,1.0
CASE-2025-0009,DIS-01,diagnosedAs,DOC-CASE-003,1.0
CASE-2025-0009,DOC-CASE-003,evidenceFrom,DOC-CASE-003,1.0
CASE-2025-0009,SYM-01,hasObservedSymptom,DOC-CASE-003,1.0
CASE-2025-0009,SYM-02,hasObservedSymptom,DOC-CASE-003,1.0
CASE-2025-0009,SYM-03,hasObservedSymptom,DOC-CASE-003,1.0
CASE-2025-0010,CROP-01,ofCrop,DOC-CASE-003,1.0
CASE-2025-0010,REG-01,observedIn,DOC-CASE-003,1.0
CASE-2025-0010,DIS-01,diagnosedAs,DOC-CASE-003,1.0
CASE-2025-0010,DOC-CASE-003,evidenceFrom,DOC-CASE-003,1.0
CASE-2025-0010,SYM-01,hasObservedSymptom,DOC-CASE-003,1.0
CASE-2025-0010,SYM-02,hasObservedSymptom,DOC-CASE-003,1.0
CASE-2025-0010,SYM-03,hasObservedSymptom,DOC-CASE-003,1.0
CASE-2025-0011,CROP-01,ofCrop,DOC-CASE-003,1.0
CASE-2025-0011,REG-01,observedIn,DOC-CASE-003,1.0
CASE-2025-0011,DIS-01,diagnosedAs,DOC-CASE-003,1.0
CASE-2025-0011,DOC-CASE-003,evidenceFrom,DOC-CASE-003,1.0
CASE-2025-0011,SYM-01,hasObservedSymptom,DOC-CASE-003,1.0
CASE-2025-0011,SYM-02,hasObservedSymptom,DOC-CASE-003,1.0
CASE-2025-0011,SYM-03,hasObservedSymptom,DOC-CASE-003,1.0
CASE-2025-0012,CROP-01,ofCrop,DOC-CASE-003,1.0
CASE-2025-0012,REG-01,observedIn,DOC-CASE-003,1.0
CASE-2025-0012,DIS-01,diagnosedAs,DOC-CASE-003,1.0
CASE-2025-0012,DOC-CASE-003,evidenceFrom,DOC-CASE-003,1.0
CASE-2025-0012,SYM-01,hasObservedSymptom,DOC-CASE-003,1.0
CASE-2025-0012,SYM-02,hasObservedSymptom,DOC-CASE-003,1.0
CASE-2025-0013,CROP-01,ofCrop,DOC-CASE-004,1.0
CASE-2025-0013,REG-01,observedIn,DOC-CASE-004,1.0
CASE-2025-0013,DIS-01,diagnosedAs,DOC-CASE-004,1.0
CASE-2025-0013,DOC-CASE-004,evidenceFrom,DOC-CASE-004,1.0
CASE-2025-0013,SYM-01,hasObservedSymptom,DOC-CASE-004,1.0
CASE-2025-0013,SYM-02,hasObservedSymptom,DOC-CASE-004,1.0
CASE-2025-0014,CROP-01,ofCrop,DOC-CASE-004,1.0
CASE-2025-0014,REG-01,observedIn,DOC-CASE-004,1.0
CASE-2025-0014,DIS-01,diagnosedAs,DOC-CASE-004,1.0
CASE-2025-0014,DOC-CASE-004,evidenceFrom,DOC-CASE-004,1.0
CASE-2025-0014,SYM-01,hasObservedSymptom,DOC-CASE-004,1.0
CASE-2025-0015,CROP-01,ofCrop,DOC-CASE-004,1.0
CASE-2025-0015,REG-01,observedIn,DOC-CASE-004,1.0
CASE-2025-0015,DIS-01,diagnosedAs,DOC-CASE-004,1.0
CASE-2025-0015,DOC-CASE-004,evidenceFrom,DOC-CASE-004,1.0
CASE-2025-0015,SYM-01,hasObservedSymptom,DOC-CASE-004,1.0
CASE-2025-0016,CROP-01,ofCrop,DOC-CASE-004,1.0
CASE-2025-0016,REG-01,observedIn,DOC-CASE-004,1.0
CASE-2025-0016,DIS-01,diagnosedAs,DOC-CASE-004,1.0
CASE-2025-0016,DOC-CASE-004,evidenceFrom,DOC-CASE-004,1.0
CASE-2025-0016,SYM-01,hasObservedSymptom,DOC-CASE-004,1.0
CASE-2025-0017,CROP-01,ofCrop,DOC-CASE-005,1.0
CASE-2025-0017,REG-01,observedIn,DOC-CASE-005,1.0
CASE-2025-0017,DIS-01,diagnosedAs,DOC-CASE-005,1.0
CASE-2025-0017,DOC-CASE-005,evidenceFrom,DOC-CASE-005,1.0
CASE-2025-0017,SYM-01,hasObservedSymptom,DOC-CASE-005,1.0
CASE-2025-0018,CROP-01,ofCrop,DOC-CASE-005,1.0
CASE-2025-0018,REG-01,observedIn,DOC-CASE-005,1.0
CASE-2025-0018,DIS-01,diagnosedAs,DOC-CASE-005,1.0
CASE-2025-0018,DOC-CASE-005,evidenceFrom,DOC-CASE-005,1.0
CASE-2025-0018,SYM-01,hasObservedSymptom,DOC-CASE-005,1.0
CASE-2025-0019,CROP-01,ofCrop,DOC-CASE-005,1.0
CASE-2025-0019,REG-01,observedIn,DOC-CASE-005,1.0
CASE-2025-0019,DIS-07,diagnosedAs,DOC-CASE-005,1.0
CASE-2025-0019,DOC-CASE-005,evidenceFrom,DOC-CASE-005,1.0
CASE-2025-0019,SYM-01,hasObservedSymptom,DOC-CASE-005,1.0
CASE-2025-0019,SYM-14,hasObservedSymptom,DOC-CASE-005,1.0
CASE-2025-0019,SYM-03,hasObservedSymptom,DOC-CASE-005,1.0
CASE-2025-0020,CROP-01,ofCrop,DOC-CASE-005,1.0
CASE-2025-0020,REG-01,observedIn,DOC-CASE-005,1.0
CASE-2025-0020,DIS-07,diagnosedAs,DOC-CASE-005,1.0
CASE-2025-0020,DOC-CASE-005,evidenceFrom,DOC-CASE-005,1.0
CASE-2025-0020,SYM-01,hasObservedSymptom,DOC-CASE-005,1.0
CASE-2025-0020,SYM-14,hasObservedSymptom,DOC-CASE-005,1.0
CASE-2025-0020,SYM-03,hasObservedSymptom,DOC-CASE-005,1.0
CASE-2025-0021,CROP-01,ofCrop,DOC-CASE-006,1.0
CASE-2025-0021,REG-01,observedIn,DOC-CASE-006,1.0
CASE-2025-0021,DIS-07,diagnosedAs,DOC-CASE-006,1.0
CASE-2025-0021,DOC-CASE-006,evidenceFrom,DOC-CASE-006,1.0
CASE-2025-0021,SYM-01,hasObservedSymptom,DOC-CASE-006,1.0
CASE-2025-0021,SYM-14,hasObservedSymptom,DOC-CASE-006,1.0
CASE-2025-0022,CROP-01,ofCrop,DOC-CASE-006,1.0
CASE-2025-0022,REG-01,observedIn,DOC-CASE-006,1.0
CASE-2025-0022,DIS-07,diagnosedAs,DOC-CASE-006,1.0
CASE-2025-0022,DOC-CASE-006,evidenceFrom,DOC-CASE-006,1.0
CASE-2025-0022,SYM-01,hasObservedSymptom,DOC-CASE-006,1.0
CASE-2025-0022,SYM-14,hasObservedSymptom,DOC-CASE-006,1.0
CASE-2025-0023,CROP-01,ofCrop,DOC-CASE-006,1.0
CASE-2025-0023,REG-01,observedIn,DOC-CASE-006,1.0
CASE-2025-0023,DIS-03,diagnosedAs,DOC-CASE-006,1.0
CASE-2025-0023,DOC-CASE-006,evidenceFrom,DOC-CASE-006,1.0
CASE-2025-0023,SYM-01,hasObservedSymptom,DOC-CASE-006,1.0
CASE-2025-0023,SYM-06,hasObservedSymptom,DOC-CASE-006,1.0
CASE-2025-0023,SYM-07,hasObservedSymptom,DOC-CASE-006,1.0
CASE-2025-0024,CROP-01,ofCrop,DOC-CASE-006,1.0
CASE-2025-0024,REG-01,observedIn,DOC-CASE-006,1.0
CASE-2025-0024,DIS-03,diagnosedAs,DOC-CASE-006,1.0
CASE-2025-0024,DOC-CASE-006,evidenceFrom,DOC-CASE-006,1.0
CASE-2025-0024,SYM-01,hasObservedSymptom,DOC-CASE-006,1.0
CASE-2025-0024,SYM-06,hasObservedSymptom,DOC-CASE-006,1.0
CASE-2025-0024,SYM-07,hasObservedSymptom,DOC-CASE-006,1.0
CASE-2025-0025,CROP-01,ofCrop,DOC-CASE-007,1.0
CASE-2025-0025,REG-01,observedIn,DOC-CASE-007,1.0
CASE-2025-0025,DIS-02,diagnosedAs,DOC-CASE-007,1.0
CASE-2025-0025,DOC-CASE-007,evidenceFrom,DOC-CASE-007,1.0
CASE-2025-0025,SYM-05,hasObservedSymptom,DOC-CASE-007,1.0
CASE-2025-0025,SYM-03,hasObservedSymptom,DOC-CASE-007,1.0
CASE-2025-0026,CROP-01,ofCrop,DOC-CASE-007,1.0
CASE-2025-0026,REG-01,observedIn,DOC-CASE-007,1.0
CASE-2025-0026,DIS-04,diagnosedAs,DOC-CASE-007,1.0
CASE-2025-0026,DOC-CASE-007,evidenceFrom,DOC-CASE-007,1.0
CASE-2025-0026,SYM-08,hasObservedSymptom,DOC-CASE-007,1.0
CASE-2025-0026,SYM-09,hasObservedSymptom,DOC-CASE-007,1.0
CASE-2025-0027,CROP-01,ofCrop,DOC-CASE-007,1.0
CASE-2025-0027,REG-01,observedIn,DOC-CASE-007,1.0
CASE-2025-0027,DIS-05,diagnosedAs,DOC-CASE-007,1.0
CASE-2025-0027,DOC-CASE-007,evidenceFrom,DOC-CASE-007,1.0
CASE-2025-0027,SYM-10,hasObservedSymptom,DOC-CASE-007,1.0
CASE-2025-0027,SYM-11,hasObservedSymptom,DOC-CASE-007,1.0
CASE-2025-0028,CROP-01,ofCrop,DOC-CASE-007,1.0
CASE-2025-0028,REG-01,observedIn,DOC-CASE-007,1.0
CASE-2025-0028,DIS-06,diagnosedAs,DOC-CASE-007,1.0
CASE-2025-0028,DOC-CASE-007,evidenceFrom,DOC-CASE-007,1.0
CASE-2025-0028,SYM-12,hasObservedSymptom,DOC-CASE-007,1.0
CASE-2025-0028,SYM-13,hasObservedSymptom,DOC-CASE-007,1.0
CASE-2025-0029,CROP-01,ofCrop,DOC-CASE-008,1.0
CASE-2025-0029,REG-01,observedIn,DOC-CASE-008,1.0
CASE-2025-0029,DIS-08,diagnosedAs,DOC-CASE-008,1.0
CASE-2025-0029,DOC-CASE-008,evidenceFrom,DOC-CASE-008,1.0
CASE-2025-0029,SYM-15,hasObservedSymptom,DOC-CASE-008,1.0
CASE-2025-0029,SYM-16,hasObservedSymptom,DOC-CASE-008,1.0
CASE-2025-0030,CROP-01,ofCrop,DOC-CASE-008,1.0
CASE-2025-0030,REG-01,observedIn,DOC-CASE-008,1.0
CASE-2025-0030,DIS-02,diagnosedAs,DOC-CASE-008,1.0
CASE-2025-0030,DOC-CASE-008,evidenceFrom,DOC-CASE-008,1.0
CASE-2025-0030,SYM-05,hasObservedSymptom,DOC-CASE-008,1.0
CASE-2025-0030,SYM-03,hasObservedSymptom,DOC-CASE-008,1.0
CASE-2025-0031,CROP-01,ofCrop,DOC-CASE-008,1.0
CASE-2025-0031,REG-01,observedIn,DOC-CASE-008,1.0
CASE-2025-0031,DIS-04,diagnosedAs,DOC-CASE-008,1.0
CASE-2025-0031,DOC-CASE-008,evidenceFrom,DOC-CASE-008,1.0
CASE-2025-0031,SYM-08,hasObservedSymptom,DOC-CASE-008,1.0
CASE-2025-0031,SYM-09,hasObservedSymptom,DOC-CASE-008,1.0
CASE-2025-0032,CROP-01,ofCrop,DOC-CASE-008,1.0
CASE-2025-0032,REG-01,observedIn,DOC-CASE-008,1.0
CASE-2025-0032,DIS-05,diagnosedAs,DOC-CASE-008,1.0
CASE-2025-0032,DOC-CASE-008,evidenceFrom,DOC-CASE-008,1.0
CASE-2025-0032,SYM-10,hasObservedSymptom,DOC-CASE-008,1.0
CASE-2025-0032,SYM-11,hasObservedSymptom,DOC-CASE-008,1.0
CASE-2025-0033,CROP-01,ofCrop,DOC-CASE-009,1.0
CASE-2025-0033,REG-01,observedIn,DOC-CASE-009,1.0
CASE-2025-0033,DIS-06,diagnosedAs,DOC-CASE-009,1.0
CASE-2025-0033,DOC-CASE-009,evidenceFrom,DOC-CASE-009,1.0
CASE-2025-0033,SYM-12,hasObservedSymptom,DOC-CASE-009,1.0
CASE-2025-0033,SYM-13,hasObservedSymptom,DOC-CASE-009,1.0
CASE-2025-0034,CROP-01,ofCrop,DOC-CASE-009,1.0
CASE-2025-0034,REG-01,observedIn,DOC-CASE-009,1.0
CASE-2025-0034,DIS-08,diagnosedAs,DOC-CASE-009,1.0
CASE-2025-0034,DOC-CASE-009,evidenceFrom,DOC-CASE-009,1.0
CASE-2025-0034,SYM-15,hasObservedSymptom,DOC-CASE-009,1.0
CASE-2025-0034,SYM-16,hasObservedSymptom,DOC-CASE-009,1.0
CASE-2025-0035,CROP-01,ofCrop,DOC-CASE-009,1.0
CASE-2025-0035,REG-01,observedIn,DOC-CASE-009,1.0
CASE-2025-0035,DIS-02,diagnosedAs,DOC-CASE-009,1.0
CASE-2025-0035,DOC-CASE-009,evidenceFrom,DOC-CASE-009,1.0
CASE-2025-0035,SYM-05,hasObservedSymptom,DOC-CASE-009,1.0
CASE-2025-0035,SYM-03,hasObservedSymptom,DOC-CASE-009,1.0
CASE-2025-0036,CROP-01,ofCrop,DOC-CASE-009,1.0
CASE-2025-0036,REG-01,observedIn,DOC-CASE-009,1.0
CASE-2025-0036,DIS-04,diagnosedAs,DOC-CASE-009,1.0
CASE-2025-0036,DOC-CASE-009,evidenceFrom,DOC-CASE-009,1.0
CASE-2025-0036,SYM-08,hasObservedSymptom,DOC-CASE-009,1.0
CASE-2025-0036,SYM-09,hasObservedSymptom,DOC-CASE-009,1.0
CASE-2025-0037,CROP-01,ofCrop,DOC-CASE-010,1.0
CASE-2025-0037,REG-01,observedIn,DOC-CASE-010,1.0
CASE-2025-0037,DIS-05,diagnosedAs,DOC-CASE-010,1.0
CASE-2025-0037,DOC-CASE-010,evidenceFrom,DOC-CASE-010,1.0
CASE-2025-0037,SYM-10,hasObservedSymptom,DOC-CASE-010,1.0
CASE-2025-0037,SYM-11,hasObservedSymptom,DOC-CASE-010,1.0
CASE-2025-0038,CROP-01,ofCrop,DOC-CASE-010,1.0
CASE-2025-0038,REG-01,observedIn,DOC-CASE-010,1.0
CASE-2025-0038,DIS-06,diagnosedAs,DOC-CASE-010,1.0
CASE-2025-0038,DOC-CASE-010,evidenceFrom,DOC-CASE-010,1.0
CASE-2025-0038,SYM-12,hasObservedSymptom,DOC-CASE-010,1.0
CASE-2025-0038,SYM-13,hasObservedSymptom,DOC-CASE-010,1.0
CASE-2025-0039,CROP-01,ofCrop,DOC-CASE-010,1.0
CASE-2025-0039,REG-01,observedIn,DOC-CASE-010,1.0
CASE-2025-0039,DIS-08,diagnosedAs,DOC-CASE-010,1.0
CASE-2025-0039,DOC-CASE-010,evidenceFrom,DOC-CASE-010,1.0
CASE-2025-0039,SYM-15,hasObservedSymptom,DOC-CASE-010,1.0
CASE-2025-0039,SYM-16,hasObservedSymptom,DOC-CASE-010,1.0
CASE-2025-0040,CROP-01,ofCrop,DOC-CASE-010,1.0
CASE-2025-0040,REG-01,observedIn,DOC-CASE-010,1.0
CASE-2025-0040,DIS-02,diagnosedAs,DOC-CASE-010,1.0
CASE-2025-0040,DOC-CASE-010,evidenceFrom,DOC-CASE-010,1.0
CASE-2025-0040,SYM-05,hasObservedSymptom,DOC-CASE-010,1.0
CASE-2025-0040,SYM-03,hasObservedSymptom,DOC-CASE-010,1.0
CASE-2025-0041,CROP-01,ofCrop,DOC-CASE-011,1.0
CASE-2025-0041,REG-01,observedIn,DOC-CASE-011,1.0
CASE-2025-0041,DIS-06,diagnosedAs,DOC-CASE-011,1.0
CASE-2025-0041,DOC-CASE-011,evidenceFrom,DOC-CASE-011,1.0
CASE-2025-0041,SYM-12,hasObservedSymptom,DOC-CASE-011,1.0
CASE-2025-0041,SYM-13,hasObservedSymptom,DOC-CASE-011,1.0
CASE-2025-0041,SYM-03,hasObservedSymptom,DOC-CASE-011,1.0
CASE-2025-0042,CROP-01,ofCrop,DOC-CASE-011,1.0
CASE-2025-0042,REG-02,observedIn,DOC-CASE-011,1.0
CASE-2025-0042,DIS-02,diagnosedAs,DOC-CASE-011,1.0
CASE-2025-0042,DOC-CASE-011,evidenceFrom,DOC-CASE-011,1.0
CASE-2025-0042,SYM-05,hasObservedSymptom,DOC-CASE-011,1.0
CASE-2025-0042,SYM-03,hasObservedSymptom,DOC-CASE-011,1.0
CASE-2025-0043,CROP-01,ofCrop,DOC-CASE-011,1.0
CASE-2025-0043,REG-03,observedIn,DOC-CASE-011,1.0
CASE-2025-0043,DIS-06,diagnosedAs,DOC-CASE-011,1.0
CASE-2025-0043,DOC-CASE-011,evidenceFrom,DOC-CASE-011,1.0
CASE-2025-0043,SYM-12,hasObservedSymptom,DOC-CASE-011,1.0
CASE-2025-0043,SYM-13,hasObservedSymptom,DOC-CASE-011,1.0
CASE-2025-0044,CROP-01,ofCrop,DOC-CASE-011,1.0
CASE-2025-0044,REG-04,observedIn,DOC-CASE-011,1.0
CASE-2025-0044,DIS-02,diagnosedAs,DOC-CASE-011,1.0
CASE-2025-0044,DOC-CASE-011,evidenceFrom,DOC-CASE-011,1.0
CASE-2025-0044,SYM-05,hasObservedSymptom,DOC-CASE-011,1.0
CASE-2025-0044,SYM-03,hasObservedSymptom,DOC-CASE-011,1.0
CASE-2025-0045,CROP-01,ofCrop,DOC-CASE-012,1.0
CASE-2025-0045,REG-05,observedIn,DOC-CASE-012,1.0
CASE-2025-0045,DIS-06,diagnosedAs,DOC-CASE-012,1.0
CASE-2025-0045,DOC-CASE-012,evidenceFrom,DOC-CASE-012,1.0
CASE-2025-0045,SYM-12,hasObservedSymptom,DOC-CASE-012,1.0
CASE-2025-0045,SYM-13,hasObservedSymptom,DOC-CASE-012,1.0
CASE-2025-0045,SYM-03,hasObservedSymptom,DOC-CASE-012,1.0
CASE-2025-0046,CROP-01,ofCrop,DOC-CASE-012,1.0
CASE-2025-0046,REG-01,observedIn,DOC-CASE-012,1.0
CASE-2025-0046,DIS-06,diagnosedAs,DOC-CASE-012,1.0
CASE-2025-0046,DOC-CASE-012,evidenceFrom,DOC-CASE-012,1.0
CASE-2025-0046,SYM-12,hasObservedSymptom,DOC-CASE-012,1.0
