id,label,type,name,description
DIS-08,大豆疫霉根腐病,Disease,大豆疫霉根腐病,主要表现为茎基部暗褐变、根系腐烂和植株萎蔫。
PST-01,教学药剂A（模拟）,Pesticide,教学药剂A（模拟）,保护性杀菌剂；模拟安全间隔期7天。
PST-02,教学药剂B（模拟）,Pesticide,教学药剂B（模拟）,内吸性杀菌剂；模拟安全间隔期14天。
PST-03,教学药剂C（模拟）,Pesticide,教学药剂C（模拟）,多位点作用杀菌剂；模拟安全间隔期21天。
PST-04,教学药剂D（模拟）,Pesticide,教学药剂D（模拟）,呼吸抑制型杀菌剂；模拟安全间隔期10天。
PST-05,教学药剂E（模拟）,Pesticide,教学药剂E（模拟）,保护性杀菌剂；模拟安全间隔期15天。
PST-06,教学药剂F（模拟）,Pesticide,教学药剂F（模拟）,内吸性杀菌剂；模拟安全间隔期7天。
PST-07,教学药剂G（模拟）,Pesticide,教学药剂G（模拟）,多位点作用杀菌剂；模拟安全间隔期14天。
PST-08,教学药剂H（模拟）,Pesticide,教学药剂H（模拟）,呼吸抑制型杀菌剂；模拟安全间隔期21天。
PST-09,教学药剂I（模拟）,Pesticide,教学药剂I（模拟）,保护性杀菌剂；模拟安全间隔期10天。
PST-10,教学药剂J（模拟）,Pesticide,教学药剂J（模拟）,内吸性杀菌剂；模拟安全间隔期28天。
PST-11,教学药剂K（模拟）,Pesticide,教学药剂K（模拟）,多位点作用杀菌剂；模拟安全间隔期12天。
PST-12,教学药剂L（模拟）,Pesticide,教学药剂L（模拟）,呼吸抑制型杀菌剂；模拟安全间隔期20天。
DOC-DIS-001,大豆褐斑病教学知识卡,Document,大豆褐斑病教学知识卡,"【病害定义】大豆褐斑病，别名包括褐斑病、Septoria叶斑。类别为真菌性叶部病害。主要侵染大豆叶片，典型记录为褐色近圆形病斑，病斑边缘颜色较深，严重时可引起黄化和提前落叶。

【典型症状】本教学本体将大豆褐斑病与褐色近圆形病斑、病斑边缘深褐、叶片黄化、提前落叶建立hasTypicalSymptom关系。这些关系用于图检索，不表示仅凭单一症状即可完成真实诊断。“褐色近圆形病斑”“棕褐色近圆斑”和“边缘较深、轮廓接近圆形的棕褐斑块”在本数据集中被设为同义表达。

【条件与处置】温暖、高湿且叶面持水时间较长的条件下记录较多。关联教学药剂为教学药剂A（模拟）、教学药剂B（模拟）、教学药剂C（模拟）。所有药剂字段均为模拟值，证据编号为DOC-DIS-001。"
DOC-DIS-002,大豆灰斑病教学知识卡,Document,大豆灰斑病教学知识卡,"【病害定义】大豆灰斑病，别名包括蛙眼叶斑病、灰斑病。类别为真菌性叶部病害。典型病斑中央灰白，外围常见紫褐色边缘，可伴随叶片黄化。

【典型症状】本教学本体将大豆灰斑病与灰白中心紫褐边缘、叶片黄化建立hasTypicalSymptom关系。这些关系用于图检索，不表示仅凭单一症状即可完成真实诊断。

【条件与处置】温暖潮湿条件下较易形成典型病斑。关联教学药剂为教学药剂D（模拟）、教学药剂B（模拟）、教学药剂E（模拟）。所有药剂字段均为模拟值，证据编号为DOC-DIS-002。"
DOC-DIS-003,大豆细菌性斑点病教学知识卡,Document,大豆细菌性斑点病教学知识卡,"【病害定义】大豆细菌性斑点病，别名包括细菌性叶斑、细菌性斑点。类别为细菌性叶部病害。常表现为水渍状角斑，病斑外侧可出现黄色晕圈；少数模拟病例记录为近圆形褐斑，用作困难负例。

【典型症状】本教学本体将大豆细菌性斑点病与角斑水渍状、黄色晕圈、叶片黄化建立hasTypicalSymptom关系。这些关系用于图检索，不表示仅凭单一症状即可完成真实诊断。

【条件与处置】降雨、风雨传播和叶面长时间湿润时记录增多。关联教学药剂为教学药剂F（模拟）、教学药剂G（模拟）、教学药剂H（模拟）。所有药剂字段均为模拟值，证据编号为DOC-DIS-003。"
DOC-DIS-004,大豆霜霉病教学知识卡,Document,大豆霜霉病教学知识卡,"【病害定义】大豆霜霉病，别名包括霜霉病。类别为卵菌性叶部病害。叶片正面出现淡黄斑，叶背对应区域形成灰白色霉层。

【典型症状】本教学本体将大豆霜霉病与叶面淡黄斑、叶背灰白霉层、叶片黄化建立hasTypicalSymptom关系。这些关系用于图检索，不表示仅凭单一症状即可完成真实诊断。

【条件与处置】凉爽、高湿条件下记录较多。关联教学药剂为教学药剂B（模拟）、教学药剂I（模拟）、教学药剂C（模拟）。所有药剂字段均为模拟值，证据编号为DOC-DIS-004。"
DOC-DIS-005,大豆锈病教学知识卡,Document,大豆锈病教学知识卡,"【病害定义】大豆锈病，别名包括锈病。类别为真菌性叶部病害。叶背出现褐色小疱，疱状结构破裂后可见粉末状孢子。

【典型症状】本教学本体将大豆锈病与叶背褐色小疱、粉末状孢子、叶片黄化建立hasTypicalSymptom关系。这些关系用于图检索，不表示仅凭单一症状即可完成真实诊断。

【条件与处置】温暖湿润且持续结露的条件下记录较多。关联教学药剂为教学药剂D（模拟）、教学药剂J（模拟）、教学药剂K（模拟）。所有药剂字段均为模拟值，证据编号为DOC-DIS-005。"
DOC-DIS-006,大豆炭疽病教学知识卡,Document,大豆炭疽病教学知识卡,"【病害定义】大豆炭疽病，别名包括炭疽病。类别为真菌性茎荚病害。茎、叶柄或豆荚形成黑褐色凹陷斑和条状病斑。

【典型症状】本教学本体将大豆炭疽病与黑褐色凹陷斑、茎荚条状病斑、叶片黄化建立hasTypicalSymptom关系。这些关系用于图检索，不表示仅凭单一症状即可完成真实诊断。

【条件与处置】高温、高湿和组织受伤条件下记录较多。关联教学药剂为教学药剂F（模拟）、教学药剂L（模拟）、教学药剂C（模拟）。所有药剂字段均为模拟值，证据编号为DOC-DIS-006。"
DOC-DIS-007,大豆靶斑病教学知识卡,Document,大豆靶斑病教学知识卡,"【病害定义】大豆靶斑病，别名包括靶斑病、轮纹叶斑。类别为真菌性叶部病害。可形成褐色近圆形病斑，但病斑内部更常出现明显同心轮纹，是与大豆褐斑病区分的重要关系。

【典型症状】本教学本体将大豆靶斑病与褐色近圆形病斑、同心轮纹、叶片黄化建立hasTypicalSymptom关系。这些关系用于图检索，不表示仅凭单一症状即可完成真实诊断。当同心轮纹明显时，图关系更偏向大豆靶斑病，而不是只依据“褐色圆斑”判断。

【条件与处置】温暖、高湿和冠层郁闭条件下记录较多。关联教学药剂为教学药剂I（模拟）、教学药剂K（模拟）、教学药剂E（模拟）。所有药剂字段均为模拟值，证据编号为DOC-DIS-007。"
DOC-DIS-008,大豆疫霉根腐病教学知识卡,Document,大豆疫霉根腐病教学知识卡,"【病害定义】大豆疫霉根腐病，别名包括疫霉根腐病、根腐病。类别为卵菌性根茎病害。主要表现为茎基部暗褐变、根系腐烂和植株萎蔫。

【典型症状】本教学本体将大豆疫霉根腐病与茎基部暗褐变、根系腐烂萎蔫建立hasTypicalSymptom关系。这些关系用于图检索，不表示仅凭单一症状即可完成真实诊断。

【条件与处置】土壤积水或排水不良条件下记录较多。关联教学药剂为教学药剂G（模拟）、教学药剂J（模拟）、教学药剂L（模拟）。所有药剂字段均为模拟值，证据编号为DOC-DIS-008。"
DOC-PST-001,教学药剂A（模拟）教学标签,Document,教学药剂A（模拟）教学标签,"【模拟标签】教学药剂A（模拟），活性成分字段为模拟活性成分A，作用类型为保护性杀菌剂。

【结构化属性】safeIntervalDays=7，关联病害为大豆褐斑病。仅供RAG教学演示；药剂名称、活性成分和安全间隔期均为模拟字段，不可用于真实生产。"
DOC-PST-002,教学药剂B（模拟）教学标签,Document,教学药剂B（模拟）教学标签,"【模拟标签】教学药剂B（模拟），活性成分字段为模拟活性成分B，作用类型为内吸性杀菌剂。

【结构化属性】safeIntervalDays=14，关联病害为大豆褐斑病、大豆灰斑病、大豆霜霉病。仅供RAG教学演示；药剂名称、活性成分和安全间隔期均为模拟字段，不可用于真实生产。"
DOC-PST-003,教学药剂C（模拟）教学标签,Document,教学药剂C（模拟）教学标签,"【模拟标签】教学药剂C（模拟），活性成分字段为模拟活性成分C，作用类型为多位点作用杀菌剂。

【结构化属性】safeIntervalDays=21，关联病害为大豆褐斑病、大豆霜霉病、大豆炭疽病。仅供RAG教学演示；药剂名称、活性成分和安全间隔期均为模拟字段，不可用于真实生产。"
DOC-PST-004,教学药剂D（模拟）教学标签,Document,教学药剂D（模拟）教学标签,"【模拟标签】教学药剂D（模拟），活性成分字段为模拟活性成分D，作用类型为呼吸抑制型杀菌剂。

【结构化属性】safeIntervalDays=10，关联病害为大豆灰斑病、大豆锈病。仅供RAG教学演示；药剂名称、活性成分和安全间隔期均为模拟字段，不可用于真实生产。"
DOC-PST-005,教学药剂E（模拟）教学标签,Document,教学药剂E（模拟）教学标签,"【模拟标签】教学药剂E（模拟），活性成分字段为模拟活性成分E，作用类型为保护性杀菌剂。

【结构化属性】safeIntervalDays=15，关联病害为大豆灰斑病、大豆靶斑病。仅供RAG教学演示；药剂名称、活性成分和安全间隔期均为模拟字段，不可用于真实生产。"
DOC-PST-006,教学药剂F（模拟）教学标签,Document,教学药剂F（模拟）教学标签,"【模拟标签】教学药剂F（模拟），活性成分字段为模拟活性成分F，作用类型为内吸性杀菌剂。

【结构化属性】safeIntervalDays=7，关联病害为大豆细菌性斑点病、大豆炭疽病。仅供RAG教学演示；药剂名称、活性成分和安全间隔期均为模拟字段，不可用于真实生产。"
DOC-PST-007,教学药剂G（模拟）教学标签,Document,教学药剂G（模拟）教学标签,"【模拟标签】教学药剂G（模拟），活性成分字段为模拟活性成分G，作用类型为多位点作用杀菌剂。

【结构化属性】safeIntervalDays=14，关联病害为大豆细菌性斑点病、大豆疫霉根腐病。仅供RAG教学演示；药剂名称、活性成分和安全间隔期均为模拟字段，不可用于真实生产。"
DOC-PST-008,教学药剂H（模拟）教学标签,Document,教学药剂H（模拟）教学标签,"【模拟标签】教学药剂H（模拟），活性成分字段为模拟活性成分H，作用类型为呼吸抑制型杀菌剂。

【结构化属性】safeIntervalDays=21，关联病害为大豆细菌性斑点病。仅供RAG教学演示；药剂名称、活性成分和安全间隔期均为模拟字段，不可用于真实生产。"
DOC-PST-009,教学药剂I（模拟）教学标签,Document,教学药剂I（模拟）教学标签,"【模拟标签】教学药剂I（模拟），活性成分字段为模拟活性成分I，作用类型为保护性杀菌剂。

【结构化属性】safeIntervalDays=10，关联病害为大豆霜霉病、大豆靶斑病。仅供RAG教学演示；药剂名称、活性成分和安全间隔期均为模拟字段，不可用于真实生产。"
DOC-PST-010,教学药剂J（模拟）教学标签,Document,教学药剂J（模拟）教学标签,"【模拟标签】教学药剂J（模拟），活性成分字段为模拟活性成分J，作用类型为内吸性杀菌剂。

【结构化属性】safeIntervalDays=28，关联病害为大豆锈病、大豆疫霉根腐病。仅供RAG教学演示；药剂名称、活性成分和安全间隔期均为模拟字段，不可用于真实生产。"
DOC-PST-011,教学药剂K（模拟）教学标签,Document,教学药剂K（模拟）教学标签,"【模拟标签】教学药剂K（模拟），活性成分字段为模拟活性成分K，作用类型为多位点作用杀菌剂。

【结构化属性】safeIntervalDays=12，关联病害为大豆锈病、大豆靶斑病。仅供RAG教学演示；药剂名称、活性成分和安全间隔期均为模拟字段，不可用于真实生产。"
DOC-PST-012,教学药剂L（模拟）教学标签,Document,教学药剂L（模拟）教学标签,"【模拟标签】教学药剂L（模拟），活性成分字段为模拟活性成分L，作用类型为呼吸抑制型杀菌剂。

【结构化属性】safeIntervalDays=20，关联病害为大豆炭疽病、大豆疫霉根腐病。仅供RAG教学演示；药剂名称、活性成分和安全间隔期均为模拟字段，不可用于真实生产。"
DOC-CASE-001,大豆田间病例记录第001组,Document,大豆田间病例记录第001组,"【田间记录A】调查范围：六合区。2025-07-01在六合区记录一例大豆叶部或根茎异常。现场观察为棕褐色近圆斑，并伴有深褐色边界，并伴有叶片黄化，并伴有早期落叶，病情评定为中度。记录时温度29.2℃、相对湿度89%。教学标注诊断为大豆褐斑病。 2025-07-04在六合区记录一例大豆叶部或根茎异常。现场观察为边缘颜色较深、轮廓接近圆形的棕褐斑块，并伴有病斑边缘深褐，并伴有叶片发黄，并伴有叶片提前脱落，病情评定为中度。记录时温度28.8℃、相对湿度87%。教学标注诊断为大豆褐斑病。

【田间记录B】2025-07-07在六合区记录一例大豆叶部或根茎异常。现场观察为褐色近圆形病斑，并伴有病斑边缘颜色较深，并伴有叶色变黄，并伴有提前落叶，病情评定为较重。记录时温度28.2℃、相对湿度85%。教学标注诊断为大豆褐斑病。 2025-07-10在六合区记录一例大豆叶部或根茎异常。现场观察为棕褐色近圆斑，并伴有深褐色边界，并伴有叶片黄化，并伴有早期落叶，病情评定为轻度。记录时温度27.8℃、相对湿度83%。教学标注诊断为大豆褐斑病。

【记录说明】以上病例均为教学模拟记录。本组诊断分布为大豆褐斑病4例。原始症状表达、标准症状编号和诊断编号同时保留，用于比较关键词检索、语义检索和结构化查询。"
DOC-CASE-002,大豆田间病例记录第002组,Document,大豆田间病例记录第002组,"【田间记录A】调查范围：六合区。2025-07-13在六合区记录一例大豆叶部或根茎异常。现场观察为边缘颜色较深、轮廓接近圆形的棕褐斑块，并伴有病斑边缘深褐，并伴有叶片发黄，并伴有叶片提前脱落，病情评定为中度。记录时温度27.2℃、相对湿度90%。教学标注诊断为大豆褐斑病。 2025-07-16在六合区记录一例大豆叶部或根茎异常。现场观察为褐色近圆形病斑，并伴有病斑边缘颜色较深，并伴有叶色变黄，并伴有提前落叶，病情评定为中度。记录时温度26.8℃、相对湿度88%。教学标注诊断为大豆褐斑病。

【田间记录B】2025-07-19在六合区记录一例大豆叶部或根茎异常。现场观察为棕褐色近圆斑，并伴有深褐色边界，并伴有叶片黄化，并伴有早期落叶，病情评定为较重。记录时温度29.5℃、相对湿度86%。教学标注诊断为大豆褐斑病。 2025-07-22在六合区记录一例大豆叶部或根茎异常。现场观察为边缘颜色较深、轮廓接近圆形的棕褐斑块，并伴有病斑边缘深褐，并伴有叶片发黄，病情评定为轻度。记录时温度29.0℃、相对湿度84%。教学标注诊断为大豆褐斑病。

【记录说明】以上病例均为教学模拟记录。本组诊断分布为大豆褐斑病4例。原始症状表达、标准症状编号和诊断编号同时保留，用于比较关键词检索、语义检索和结构化查询。"
DOC-CASE-003,大豆田间病例记录第003组,Document,大豆田间病例记录第003组,"【田间记录A】调查范围：六合区。2025-07-25在六合区记录一例大豆叶部或根茎异常。现场观察为褐色近圆形病斑，并伴有病斑边缘颜色较深，并伴有叶色变黄，病情评定为中度。记录时温度28.5℃、相对湿度82%。教学标注诊断为大豆褐斑病。 2025-07-28在六合区记录一例大豆叶部或根茎异常。现场观察为棕褐色近圆斑，并伴有深褐色边界，并伴有叶片黄化，病情评定为中度。记录时温度28.0℃、相对湿度89%。教学标注诊断为大豆褐斑病。

【田间记录B】2025-07-03在六合区记录一例大豆叶部或根茎异常。现场观察为边缘颜色较深、轮廓接近圆形的棕褐斑块，并伴有病斑边缘深褐，并伴有叶片发黄，病情评定为较重。记录时温度27.5℃、相对湿度87%。教学标注诊断为大豆褐斑病。 2025-07-06在六合区记录一例大豆叶部或根茎异常。现场观察为褐色近圆形病斑，并伴有病斑边缘颜色较深，病情评定为轻度。记录时温度27.0℃、相对湿度85%。教学标注诊断为大豆褐斑病。

【记录说明】以上病例均为教学模拟记录。本组诊断分布为大豆褐斑病4例。原始症状表达、标准症状编号和诊断编号同时保留，用于比较关键词检索、语义检索和结构化查询。"
DOC-CASE-004,大豆田间病例记录第004组,Document,大豆田间病例记录第004组,"【田间记录A】调查范围：六合区。2025-07-09在六合区记录一例大豆叶部或根茎异常。现场观察为棕褐色近圆斑，并伴有深褐色边界，病情评定为中度。记录时温度26.5℃、相对湿度83%。教学标注诊断为大豆褐斑病。 2025-07-12在六合区记录一例大豆叶部或根茎异常。现场观察为边缘颜色较深、轮廓接近圆形的棕褐斑块，病情评定为中度。记录时温度29.2℃、相对湿度90%。教学标注诊断为大豆褐斑病。

【田间记录B】2025-07-15在六合区记录一例大豆叶部或根茎异常。现场观察为褐色近圆形病斑，病情评定为较重。记录时温度28.8℃、相对湿度88%。教学标注诊断为大豆褐斑病。 2025-07-18在六合区记录一例大豆叶部或根茎异常。现场观察为棕褐色近圆斑，病情评定为轻度。记录时温度28.2℃、相对湿度86%。教学标注诊断为大豆褐斑病。

【记录说明】以上病例均为教学模拟记录。本组诊断分布为大豆褐斑病4例。原始症状表达、标准症状编号和诊断编号同时保留，用于比较关键词检索、语义检索和结构化查询。"
DOC-CASE-005,大豆田间病例记录第005组,Document,大豆田间病例记录第005组,"【田间记录A】调查范围：六合区。2025-07-21在六合区记录一例大豆叶部或根茎异常。现场观察为边缘颜色较深、轮廓接近圆形的棕褐斑块，病情评定为中度。记录时温度27.8℃、相对湿度84%。教学标注诊断为大豆褐斑病。 2025-07-24在六合区记录一例大豆叶部或根茎异常。现场观察为褐色近圆形病斑，病情评定为中度。记录时温度27.2℃、相对湿度82%。教学标注诊断为大豆褐斑病。

【田间记录B】2025-07-02在六合区记录一例大豆叶部或根茎异常。现场观察为棕褐色近圆斑，并伴有同心环纹，并伴有叶片黄化，病情评定为较重。记录时温度26.8℃、相对湿度88%。教学标注诊断为大豆靶斑病。 2025-07-08在六合区记录一例大豆叶部或根茎异常。现场观察为边缘颜色较深、轮廓接近圆形的棕褐斑块，并伴有同心轮纹，并伴有叶片发黄，病情评定为轻度。记录时温度29.5℃、相对湿度86%。教学标注诊断为大豆靶斑病。

【记录说明】以上病例均为教学模拟记录。本组诊断分布为大豆褐斑病2例、大豆靶斑病2例。原始症状表达、标准症状编号和诊断编号同时保留，用于比较关键词检索、语义检索和结构化查询。"
DOC-CASE-006,大豆田间病例记录第006组,Document,大豆田间病例记录第006组,"【田间记录A】调查范围：六合区。2025-07-14在六合区记录一例大豆叶部或根茎异常。现场观察为褐色近圆形病斑，并伴有靶纹，病情评定为中度。记录时温度29.0℃、相对湿度84%。教学标注诊断为大豆靶斑病。 2025-07-20在六合区记录一例大豆叶部或根茎异常。现场观察为棕褐色近圆斑，并伴有同心环纹，病情评定为中度。记录时温度28.5℃、相对湿度82%。教学标注诊断为大豆靶斑病。

【田间记录B】2025-07-05在六合区记录一例大豆叶部或根茎异常。现场观察为边缘颜色较深、轮廓接近圆形的棕褐斑块，并伴有角斑水渍状，并伴有黄绿色晕圈，病情评定为较重。记录时温度28.0℃、相对湿度93%。教学标注诊断为大豆细菌性斑点病。 2025-07-18在六合区记录一例大豆叶部或根茎异常。现场观察为褐色近圆形病斑，并伴有水渍状角斑，并伴有病斑外缘黄晕，病情评定为轻度。记录时温度27.5℃、相对湿度91%。教学标注诊断为大豆细菌性斑点病。

【记录说明】以上病例均为教学模拟记录。本组诊断分布为大豆靶斑病2例、大豆细菌性斑点病2例。原始症状表达、标准症状编号和诊断编号同时保留，用于比较关键词检索、语义检索和结构化查询。"
DOC-CASE-007,大豆田间病例记录第007组,Document,大豆田间病例记录第007组,"【田间记录A】调查范围：六合区。2025-07-04在六合区记录一例大豆叶部或根茎异常。现场观察为灰白斑心，并伴有叶色变黄，病情评定为中度。记录时温度27.0℃、相对湿度82%。教学标注诊断为大豆灰斑病。 2025-07-09在六合区记录一例大豆叶部或根茎异常。现场观察为叶面黄斑，并伴有叶背灰白霉层，病情评定为中度。记录时温度26.5℃、相对湿度89%。教学标注诊断为大豆霜霉病。

【田间记录B】2025-07-14在六合区记录一例大豆叶部或根茎异常。现场观察为叶背褐色小疱，并伴有粉末状物，病情评定为较重。记录时温度29.2℃、相对湿度83%。教学标注诊断为大豆锈病。 2025-07-19在六合区记录一例大豆叶部或根茎异常。现场观察为凹陷坏死斑，并伴有豆荚条形病斑，病情评定为轻度。记录时温度28.8℃、相对湿度91%。教学标注诊断为大豆炭疽病。

【记录说明】以上病例均为教学模拟记录。本组诊断分布为大豆灰斑病1例、大豆霜霉病1例、大豆锈病1例、大豆炭疽病1例。原始症状表达、标准症状编号和诊断编号同时保留，用于比较关键词检索、语义检索和结构化查询。"
DOC-CASE-008,大豆田间病例记录第008组,Document,大豆田间病例记录第008组,"【田间记录A】调查范围：六合区。2025-07-24在六合区记录一例大豆叶部或根茎异常。现场观察为近地面茎部变暗，并伴有根系腐烂萎蔫，病情评定为中度。记录时温度28.2℃、相对湿度93%。教学标注诊断为大豆疫霉根腐病。 2025-07-01在六合区记录一例大豆叶部或根茎异常。现场观察为灰白中心紫褐边缘，并伴有叶片发黄，病情评定为中度。记录时温度27.8℃、相对湿度81%。教学标注诊断为大豆灰斑病。

【田间记录B】2025-07-06在六合区记录一例大豆叶部或根茎异常。现场观察为叶片淡黄色斑块，并伴有灰白色霉状物，病情评定为较重。记录时温度27.2℃、相对湿度88%。教学标注诊断为大豆霜霉病。 2025-07-11在六合区记录一例大豆叶部或根茎异常。现场观察为叶背小疱斑，并伴有粉末状孢子，病情评定为轻度。记录时温度26.8℃、相对湿度91%。教学标注诊断为大豆锈病。

【记录说明】以上病例均为教学模拟记录。本组诊断分布为大豆疫霉根腐病1例、大豆灰斑病1例、大豆霜霉病1例、大豆锈病1例。原始症状表达、标准症状编号和诊断编号同时保留，用于比较关键词检索、语义检索和结构化查询。"
DOC-CASE-009,大豆田间病例记录第009组,Document,大豆田间病例记录第009组,"【田间记录A】调查范围：六合区。2025-07-16在六合区记录一例大豆叶部或根茎异常。现场观察为黑褐色凹陷斑，并伴有茎部条斑，病情评定为中度。记录时温度29.5℃、相对湿度90%。教学标注诊断为大豆炭疽病。 2025-07-21在六合区记录一例大豆叶部或根茎异常。现场观察为茎基部褐变，并伴有植株萎蔫，病情评定为中度。记录时温度29.0℃、相对湿度92%。教学标注诊断为大豆疫霉根腐病。

【田间记录B】2025-07-26在六合区记录一例大豆叶部或根茎异常。现场观察为紫褐色斑缘，并伴有叶片黄化，病情评定为较重。记录时温度28.5℃、相对湿度80%。教学标注诊断为大豆灰斑病。 2025-07-03在六合区记录一例大豆叶部或根茎异常。现场观察为叶面淡黄斑，并伴有叶背霉层，病情评定为轻度。记录时温度28.0℃、相对湿度87%。教学标注诊断为大豆霜霉病。

【记录说明】以上病例均为教学模拟记录。本组诊断分布为大豆炭疽病1例、大豆疫霉根腐病1例、大豆灰斑病1例、大豆霜霉病1例。原始症状表达、标准症状编号和诊断编号同时保留，用于比较关键词检索、语义检索和结构化查询。"
DOC-CASE-010,大豆田间病例记录第010组,Document,大豆田间病例记录第010组,"【田间记录A】调查范围：六合区。2025-07-08在六合区记录一例大豆叶部或根茎异常。现场观察为褐色孢子堆，并伴有孢子粉，病情评定为中度。记录时温度27.5℃、相对湿度90%。教学标注诊断为大豆锈病。 2025-07-13在六合区记录一例大豆叶部或根茎异常。现场观察为黑褐色下陷病斑，并伴有茎荚条状病斑，病情评定为中度。记录时温度27.0℃、相对湿度89%。教学标注诊断为大豆炭疽病。

【田间记录B】2025-07-18在六合区记录一例大豆叶部或根茎异常。现场观察为茎基部暗褐变，并伴有根腐，病情评定为较重。记录时温度26.5℃、相对湿度91%。教学标注诊断为大豆疫霉根腐病。 2025-07-23在六合区记录一例大豆叶部或根茎异常。现场观察为灰白斑心，并伴有叶色变黄，病情评定为轻度。记录时温度29.2℃、相对湿度79%。教学标注诊断为大豆灰斑病。

【记录说明】以上病例均为教学模拟记录。本组诊断分布为大豆锈病1例、大豆炭疽病1例、大豆疫霉根腐病1例、大豆灰斑病1例。原始症状表达、标准症状编号和诊断编号同时保留，用于比较关键词检索、语义检索和结构化查询。"
DOC-CASE-011,大豆田间病例记录第011组,Document,大豆田间病例记录第011组,"【田间记录A】调查范围：六合区、江宁区、浦口区、高淳区。2025-05-01在六合区记录一例大豆叶部或根茎异常。现场观察为黑褐色下陷病斑，并伴有茎荚条状病斑，并伴有叶片发黄，病情评定为中度。记录时温度23.8℃、相对湿度92%。教学标注诊断为大豆炭疽病。 2025-05-11在浦口区记录一例大豆叶部或根茎异常。现场观察为灰白中心紫褐边缘，并伴有叶片发黄，病情评定为中度。记录时温度23.2℃、相对湿度84%。教学标注诊断为大豆灰斑病。

【田间记录B】2025-05-21在高淳区记录一例大豆叶部或根茎异常。现场观察为凹陷坏死斑，并伴有豆荚条形病斑，病情评定为较重。记录时温度22.8℃、相对湿度88%。教学标注诊断为大豆炭疽病。 2025-05-03在江宁区记录一例大豆叶部或根茎异常。现场观察为紫褐色斑缘，并伴有叶片黄化，病情评定为轻度。记录时温度22.2℃、相对湿度80%。教学标注诊断为大豆灰斑病。

【记录说明】以上病例均为教学模拟记录。本组诊断分布为大豆炭疽病2例、大豆灰斑病2例。原始症状表达、标准症状编号和诊断编号同时保留，用于比较关键词检索、语义检索和结构化查询。"
